Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.00573244,-0.001095682,0.026034235,0.000677781,0.026656322,0.08440018,0.055357748,-0.338705873,1000_FGBSBOTHFB
-0.00569534,-0.001104123,0.026077739,0.000680048,0.026690866,0.08547285,0.063315702,-0.30879067,1000_FGBSBOTHFB
-0.005884726,-0.001631682,0.026020748,0.000677079,0.026676332,0.08581965,0.060696146,-0.316586076,1000_FGBSBOTHFB
-0.005748007,-0.001414229,0.026004919,0.000676256,0.02663105,0.08807174,0.058159669,-0.32383609,1000_FGBSBOTHFB
-0.0057986,-0.001420637,0.025948448,0.000673322,0.026586905,0.08417682,0.055741175,-0.320256434,1000_FGBSBOTHFB
-0.005848025,-0.001318452,0.026063216,0.000679291,0.026709693,0.08280277,0.05266288,-0.343173977,1000_FGBSBOTHFB
-0.005305538,-0.000776954,0.026029405,0.00067753,0.026563056,0.08654721,0.056613947,-0.329031883,1000_FGBSBOTHFB
-0.005702341,-0.001295913,0.026034997,0.000677821,0.02665061,0.08506735,0.068461291,-0.310579192,1000_FGBSBOTHFB
-0.005880681,-0.001496292,0.026002756,0.000676143,0.026657892,0.08476009,0.058782145,-0.32470042,1000_FGBSBOTHFB
-0.005795618,-0.001133394,0.026079193,0.000680124,0.026713863,0.08534751,0.057903754,-0.328321559,1000_FGBSBOTHFB
-0.005607492,-0.001219852,0.026015119,0.000676786,0.026611046,0.08520991,0.056396935,-0.319084565,1000_FGBSBOTHFB
-0.005397709,-0.001049852,0.025962245,0.000674038,0.026515866,0.08793726,0.075094332,-0.286815621,1000_FGBSBOTHFB
-0.005295917,-0.000820289,0.026024036,0.00067725,0.026555875,0.08701525,0.063068775,-0.292711132,1000_FGBSBOTHFB
-0.004988759,-0.000503486,0.026023529,0.000677224,0.026495832,0.08794361,0.065129283,-0.317589814,1000_FGBSBOTHFB
-0.005666468,-0.001228571,0.026037597,0.000677956,0.026645497,0.08627312,0.061810832,-0.337501686,1000_FGBSBOTHFB
-0.00542055,-0.001010552,0.0260279,0.000677452,0.026584793,0.08372664,0.066884403,-0.338468278,1000_FGBSBOTHFB
